Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2
032773.png,230173.0,94.0,23.0,110.0,0.99949194493899,-1.0,-1.0,-1.0,-1.0,110.0,23.0,94.0,230173.0,0.4845814977973568,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
032774.png,230161.0,83.0,14.0,142.0,0.9995787334207715,-1.0,-1.0,-1.0,-1.0,5.0,43.0,57.0,230295.0,0.047619047619047616,-1.0,-1.0,-1.0,-1.0,108.0,0.0,55.0,230237.0,0.6625766871165644,-1.0,-1.0,-1.0,-1.0
032775.png,230250.0,85.0,2.0,63.0,0.9996222925539535,-1.0,-1.0,-1.0,-1.0,7.0,30.0,49.0,230314.0,0.08139534883720931,-1.0,-1.0,-1.0,-1.0,28.0,0.0,64.0,230308.0,0.30434782608695654,-1.0,-1.0,-1.0,-1.0
032776.png,229598.0,109.0,96.0,597.0,0.9991079315761762,-1.0,-1.0,-1.0,-1.0,458.0,117.0,108.0,229717.0,0.6705710102489019,-1.0,-1.0,-1.0,-1.0,93.0,25.0,47.0,230235.0,0.5636363636363636,-1.0,-1.0,-1.0,-1.0
032777.png,228414.0,188.0,138.0,1660.0,0.9985748010842004,-1.0,-1.0,-1.0,-1.0,392.0,375.0,57.0,229576.0,0.47572815533980584,-1.0,-1.0,-1.0,-1.0,1031.0,0.0,368.0,229001.0,0.7369549678341673,-1.0,-1.0,-1.0,-1.0
032778.png,229819.0,124.0,47.0,410.0,0.9992564894125832,-1.0,-1.0,-1.0,-1.0,339.0,91.0,101.0,229869.0,0.6384180790960452,-1.0,-1.0,-1.0,-1.0,26.0,1.0,68.0,230305.0,0.2736842105263158,-1.0,-1.0,-1.0,-1.0
032779.png,229521.0,105.0,141.0,633.0,0.9989293501677786,-1.0,-1.0,-1.0,-1.0,471.0,157.0,90.0,229682.0,0.6559888579387186,-1.0,-1.0,-1.0,-1.0,132.0,14.0,45.0,230209.0,0.6910994764397905,-1.0,-1.0,-1.0,-1.0
032780.png,229641.0,130.0,59.0,570.0,0.999177653047905,-1.0,-1.0,-1.0,-1.0,570.0,59.0,130.0,229641.0,0.7509881422924901,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
032781.png,228942.0,142.0,96.0,1220.0,0.998961514966402,-1.0,-1.0,-1.0,-1.0,286.0,186.0,79.0,229849.0,0.5190562613430127,-1.0,-1.0,-1.0,-1.0,843.0,1.0,154.0,229402.0,0.844689378757515,-1.0,-1.0,-1.0,-1.0
032782.png,229507.0,88.0,50.0,755.0,0.9993990724814388,-1.0,-1.0,-1.0,-1.0,746.0,50.0,97.0,229507.0,0.8353863381858903,-1.0,-1.0,-1.0,-1.0,0.0,9.0,0.0,230391.0,0.0,-1.0,-1.0,-1.0,-1.0
032783.png,229648.0,155.0,52.0,545.0,0.9990994322507668,-1.0,-1.0,-1.0,-1.0,545.0,52.0,155.0,229648.0,0.7247340425531915,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
032784.png,229827.0,110.0,47.0,416.0,0.999317343815222,-1.0,-1.0,-1.0,-1.0,291.0,159.0,89.0,229861.0,0.5398886827458256,-1.0,-1.0,-1.0,-1.0,13.0,0.0,133.0,230254.0,0.08904109589041095,-1.0,-1.0,-1.0,-1.0
032785.png,229179.0,78.0,145.0,998.0,0.9990279073416971,-1.0,-1.0,-1.0,-1.0,920.0,120.0,156.0,229204.0,0.7692307692307693,-1.0,-1.0,-1.0,-1.0,0.0,103.0,0.0,230297.0,0.0,-1.0,-1.0,-1.0,-1.0
032786.png,228773.0,146.0,128.0,1353.0,0.9988037389706043,-1.0,-1.0,-1.0,-1.0,328.0,316.0,38.0,229718.0,0.4809384164222874,-1.0,-1.0,-1.0,-1.0,837.0,0.0,296.0,229267.0,0.7387466902030009,-1.0,-1.0,-1.0,-1.0
032787.png,229254.0,119.0,49.0,978.0,0.9992677249784241,-1.0,-1.0,-1.0,-1.0,296.0,46.0,111.0,229947.0,0.6534216335540839,-1.0,-1.0,-1.0,-1.0,662.0,23.0,28.0,229687.0,0.9284712482468443,-1.0,-1.0,-1.0,-1.0
032788.png,229026.0,97.0,63.0,1214.0,0.9993018770780066,-1.0,-1.0,-1.0,-1.0,410.0,608.0,74.0,229308.0,0.37545787545787546,-1.0,-1.0,-1.0,-1.0,256.0,3.0,571.0,229570.0,0.30843373493975906,-1.0,-1.0,-1.0,-1.0
032789.png,229401.0,62.0,73.0,864.0,0.9994118569636136,-1.0,-1.0,-1.0,-1.0,264.0,303.0,40.0,229793.0,0.43492586490939045,-1.0,-1.0,-1.0,-1.0,367.0,3.0,255.0,229775.0,0.5872,-1.0,-1.0,-1.0,-1.0
032790.png,229551.0,57.0,85.0,707.0,0.9993817835110342,-1.0,-1.0,-1.0,-1.0,707.0,85.0,57.0,229551.0,0.8327444051825678,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
032791.png,229526.0,222.0,49.0,603.0,0.9988206982684718,-1.0,-1.0,-1.0,-1.0,603.0,49.0,222.0,229526.0,0.6899313501144165,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
032792.png,227409.0,429.0,151.0,2411.0,0.9974560176148849,-1.0,-1.0,-1.0,-1.0,529.0,513.0,113.0,229245.0,0.45800865800865803,-1.0,-1.0,-1.0,-1.0,1520.0,0.0,678.0,228202.0,0.6915377616014559,-1.0,-1.0,-1.0,-1.0
032793.png,228942.0,174.0,92.0,1192.0,0.9988394820425116,-1.0,-1.0,-1.0,-1.0,619.0,68.0,174.0,229539.0,0.718931475029036,-1.0,-1.0,-1.0,-1.0,544.0,53.0,29.0,229774.0,0.8690095846645367,-1.0,-1.0,-1.0,-1.0
032794.png,229798.0,310.0,11.0,281.0,0.9986050695509715,-1.0,-1.0,-1.0,-1.0,281.0,11.0,310.0,229798.0,0.46677740863787376,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
032795.png,228925.0,298.0,87.0,1090.0,0.9983210501068422,-1.0,-1.0,-1.0,-1.0,1090.0,87.0,298.0,228925.0,0.7389830508474576,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
032796.png,228977.0,245.0,102.0,1076.0,0.9984868570232509,-1.0,-1.0,-1.0,-1.0,1076.0,102.0,245.0,228977.0,0.7561489810260014,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
032797.png,229974.0,188.0,15.0,223.0,0.9991180700069946,-1.0,-1.0,-1.0,-1.0,223.0,15.0,188.0,229974.0,0.5234741784037559,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
032798.png,229390.0,132.0,47.0,831.0,0.9992202779992072,-1.0,-1.0,-1.0,-1.0,831.0,47.0,132.0,229390.0,0.8227722772277227,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
032799.png,228915.0,179.0,71.0,1235.0,0.9989090829751489,-1.0,-1.0,-1.0,-1.0,354.0,151.0,100.0,229795.0,0.5851239669421487,-1.0,-1.0,-1.0,-1.0,795.0,6.0,165.0,229434.0,0.8229813664596274,-1.0,-1.0,-1.0,-1.0
032800.png,229247.0,85.0,88.0,980.0,0.9992459245052742,-1.0,-1.0,-1.0,-1.0,980.0,88.0,85.0,229247.0,0.849956634865568,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
032801.png,229237.0,225.0,42.0,896.0,0.9988366215839375,-1.0,-1.0,-1.0,-1.0,232.0,43.0,129.0,229996.0,0.5742574257425742,-1.0,-1.0,-1.0,-1.0,656.0,7.0,104.0,229633.0,0.8552803129074316,-1.0,-1.0,-1.0,-1.0
032802.png,229564.0,223.0,106.0,507.0,0.9985688994445242,-1.0,-1.0,-1.0,-1.0,505.0,106.0,225.0,229564.0,0.604066985645933,-1.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,230398.0,0.0,-1.0,-1.0,-1.0,-1.0
032803.png,228953.0,235.0,118.0,1094.0,0.9984605723356563,-1.0,-1.0,-1.0,-1.0,462.0,293.0,104.0,229541.0,0.5378346915017462,-1.0,-1.0,-1.0,-1.0,457.0,0.0,306.0,229637.0,0.598951507208388,-1.0,-1.0,-1.0,-1.0
032804.png,228845.0,207.0,92.0,1256.0,0.9986951436651189,-1.0,-1.0,-1.0,-1.0,366.0,172.0,141.0,229721.0,0.5390279823269514,-1.0,-1.0,-1.0,-1.0,784.0,26.0,172.0,229418.0,0.7983706720977597,-1.0,-1.0,-1.0,-1.0
032805.png,229108.0,177.0,196.0,919.0,0.9983745931035685,-1.0,-1.0,-1.0,-1.0,741.0,184.0,108.0,229367.0,0.7173281703775412,-1.0,-1.0,-1.0,-1.0,154.0,36.0,93.0,230117.0,0.5441696113074205,-1.0,-1.0,-1.0,-1.0
